2025-02-24 21:19:20,075 - INFO - [LOG] Gesture: Not X | FPS: 30.07 | Ratio: 0.85 | Similarity: 58.67%
2025-02-24 21:19:20,111 - INFO - [LOG] Gesture: Not X | FPS: 27.84 | Ratio: 0.85 | Similarity: 58.45%
2025-02-24 21:19:20,143 - INFO - [LOG] Gesture: Not X | FPS: 30.69 | Ratio: 0.85 | Similarity: 58.75%
2025-02-24 21:19:20,175 - INFO - [LOG] Gesture: Not X | FPS: 31.83 | Ratio: 0.85 | Similarity: 58.92%
2025-02-24 21:19:20,208 - INFO - [LOG] Gesture: Not X | FPS: 30.02 | Ratio: 0.85 | Similarity: 58.79%
2025-02-24 21:19:20,241 - INFO - [LOG] Gesture: Not X | FPS: 29.65 | Ratio: 0.85 | Similarity: 58.52%
2025-02-24 21:19:20,274 - INFO - [LOG] Gesture: Not X | FPS: 30.24 | Ratio: 0.84 | Similarity: 59.37%
2025-02-24 21:19:20,309 - INFO - [LOG] Gesture: Not X | FPS: 29.51 | Ratio: 0.85 | Similarity: 59.11%
2025-02-24 21:19:20,344 - INFO - [LOG] Gesture: Not X | FPS: 28.52 | Ratio: 0.85 | Similarity: 58.84%
2025-02-24 21:19:20,375 - INFO - [LOG] Gesture: Not X | FPS: 31.10 | Ratio: 0.85 | Similarity: 58.57%
2025-02-24 21:19:20,410 - INFO - [LOG] Gesture: Not X | FPS: 29.12 | Ratio: 0.85 | Similarity: 58.82%
2025-02-24 21:19:20,440 - INFO - [LOG] Gesture: Not X | FPS: 31.95 | Ratio: 0.85 | Similarity: 58.90%
2025-02-24 21:19:20,473 - INFO - [LOG] Gesture: Not X | FPS: 31.01 | Ratio: 0.85 | Similarity: 59.15%
2025-02-24 21:19:20,506 - INFO - [LOG] Gesture: Not X | FPS: 29.77 | Ratio: 0.84 | Similarity: 59.29%
2025-02-24 21:19:20,542 - INFO - [LOG] Gesture: Not X | FPS: 28.94 | Ratio: 0.85 | Similarity: 58.61%
2025-02-24 21:19:20,577 - INFO - [LOG] Gesture: Not X | FPS: 28.77 | Ratio: 0.84 | Similarity: 59.20%
2025-02-24 21:19:20,609 - INFO - [LOG] Gesture: Not X | FPS: 30.60 | Ratio: 0.85 | Similarity: 58.78%
2025-02-24 21:19:20,643 - INFO - [LOG] Gesture: Not X | FPS: 29.44 | Ratio: 0.84 | Similarity: 59.20%
2025-02-24 21:19:20,675 - INFO - [LOG] Gesture: Not X | FPS: 31.88 | Ratio: 0.85 | Similarity: 58.93%
2025-02-24 21:19:20,707 - INFO - [LOG] Gesture: Not X | FPS: 30.54 | Ratio: 0.85 | Similarity: 58.77%
2025-02-24 21:19:20,741 - INFO - [LOG] Gesture: Not X | FPS: 29.38 | Ratio: 0.85 | Similarity: 59.07%
2025-02-24 21:19:20,775 - INFO - [LOG] Gesture: Not X | FPS: 30.08 | Ratio: 0.85 | Similarity: 59.09%
2025-02-24 21:19:20,810 - INFO - [LOG] Gesture: Not X | FPS: 28.34 | Ratio: 0.85 | Similarity: 59.09%
2025-02-24 21:19:20,842 - INFO - [LOG] Gesture: Not X | FPS: 30.67 | Ratio: 0.85 | Similarity: 59.04%
2025-02-24 21:19:20,877 - INFO - [LOG] Gesture: Not X | FPS: 29.05 | Ratio: 0.85 | Similarity: 59.13%
2025-02-24 21:19:20,941 - INFO - [LOG] Gesture: Not X | FPS: 15.73 | Ratio: 0.85 | Similarity: 58.92%
2025-02-24 21:19:20,974 - INFO - [LOG] Gesture: Not X | FPS: 29.40 | Ratio: 0.84 | Similarity: 59.18%
2025-02-24 21:19:21,008 - INFO - [LOG] Gesture: Not X | FPS: 29.83 | Ratio: 0.84 | Similarity: 59.34%
2025-02-24 21:19:21,043 - INFO - [LOG] Gesture: Not X | FPS: 28.54 | Ratio: 0.85 | Similarity: 59.16%
2025-02-24 21:19:21,076 - INFO - [LOG] Gesture: Not X | FPS: 30.51 | Ratio: 0.84 | Similarity: 59.50%
2025-02-24 21:19:21,110 - INFO - [LOG] Gesture: Not X | FPS: 29.00 | Ratio: 0.84 | Similarity: 59.26%
2025-02-24 21:19:21,141 - INFO - [LOG] Gesture: Not X | FPS: 31.83 | Ratio: 0.84 | Similarity: 59.27%
2025-02-24 21:19:21,174 - INFO - [LOG] Gesture: Not X | FPS: 30.74 | Ratio: 0.85 | Similarity: 58.48%
2025-02-24 21:19:21,209 - INFO - [LOG] Gesture: Not X | FPS: 28.95 | Ratio: 0.88 | Similarity: 52.70%
2025-02-24 21:19:21,240 - INFO - [LOG] Gesture: Not X | FPS: 31.31 | Ratio: 0.86 | Similarity: 56.20%
2025-02-24 21:19:21,276 - INFO - [LOG] Gesture: Not X | FPS: 28.19 | Ratio: 0.75 | Similarity: 74.69%
2025-02-24 21:19:21,308 - INFO - [LOG] Gesture: Not X | FPS: 30.98 | Ratio: 0.61 | Similarity: 98.17%
2025-02-24 21:19:21,344 - INFO - [LOG] Gesture: Not X | FPS: 28.51 | Ratio: 0.60 | Similarity: 99.78%
2025-02-24 21:19:21,408 - INFO - [LOG] Gesture: X | FPS: 15.84 | Ratio: 0.57 | Similarity: 94.86%
2025-02-24 21:19:21,442 - INFO - [LOG] Gesture: X | FPS: 28.71 | Ratio: 0.57 | Similarity: 95.46%
2025-02-24 21:19:21,474 - INFO - [LOG] Gesture: X | FPS: 30.33 | Ratio: 0.58 | Similarity: 96.31%
2025-02-24 21:19:21,509 - INFO - [LOG] Gesture: X | FPS: 28.67 | Ratio: 0.58 | Similarity: 96.13%
2025-02-24 21:19:21,542 - INFO - [LOG] Gesture: X | FPS: 30.62 | Ratio: 0.57 | Similarity: 95.58%
2025-02-24 21:19:21,576 - INFO - [LOG] Gesture: X | FPS: 29.46 | Ratio: 0.58 | Similarity: 95.96%
2025-02-24 21:19:21,607 - INFO - [LOG] Gesture: X | FPS: 31.27 | Ratio: 0.58 | Similarity: 96.81%
2025-02-24 21:19:21,640 - INFO - [LOG] Gesture: X | FPS: 30.61 | Ratio: 0.58 | Similarity: 97.24%
2025-02-24 21:19:21,673 - INFO - [LOG] Gesture: X | FPS: 30.23 | Ratio: 0.58 | Similarity: 97.39%
2025-02-24 21:19:21,708 - INFO - [LOG] Gesture: X | FPS: 29.30 | Ratio: 0.59 | Similarity: 97.71%
2025-02-24 21:19:21,742 - INFO - [LOG] Gesture: X | FPS: 28.78 | Ratio: 0.58 | Similarity: 97.44%
2025-02-24 21:19:21,775 - INFO - [LOG] Gesture: X | FPS: 30.76 | Ratio: 0.59 | Similarity: 97.94%
2025-02-24 21:19:21,810 - INFO - [LOG] Gesture: X | FPS: 29.05 | Ratio: 0.59 | Similarity: 97.80%
